,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.001108646,0.000491904,0.009959221,0.001315211,3,1,"{'n_neighbors': 3, 'p': 1}",0.861003908,0.823208323,0.847537509,0.806796248,0.798966372,0.827502472,0.023601887,5
1,0.000608778,0.000497698,0.00229702,0.000654325,3,2,"{'n_neighbors': 3, 'p': 2}",0.803429788,0.792101175,0.820307455,0.728689803,0.756025235,0.780110691,0.033249207,10
2,0.000407553,0.000499285,0.008911276,0.001570145,5,1,"{'n_neighbors': 5, 'p': 1}",0.875611393,0.824384506,0.842709966,0.806876366,0.811945948,0.832305636,0.024930093,2
3,0.000915051,0.000679593,0.002870226,0.000622062,5,2,"{'n_neighbors': 5, 'p': 2}",0.838642691,0.804600629,0.830007304,0.752168818,0.777431196,0.800570127,0.032281293,9
4,0.000253391,0.000438662,0.007902336,0.000498457,7,1,"{'n_neighbors': 7, 'p': 1}",0.87774266,0.826374502,0.84424619,0.809885283,0.813914072,0.834432541,0.024740984,1
5,0.000600863,0.000490604,0.002439594,0.000345591,7,2,"{'n_neighbors': 7, 'p': 2}",0.847557574,0.804742547,0.829596292,0.766219016,0.791095613,0.807842208,0.028541538,7
6,0.000701904,0.000601689,0.009640837,0.001907327,9,1,"{'n_neighbors': 9, 'p': 1}",0.872350826,0.826202329,0.843662726,0.808880159,0.806329479,0.831485104,0.024454032,3
7,0.001000261,0.000890341,0.002953482,0.00080479,9,2,"{'n_neighbors': 9, 'p': 2}",0.852242907,0.801091287,0.82789882,0.769479957,0.792614286,0.808665451,0.028703407,6
8,0.000470161,0.000455301,0.010139513,0.000903735,11,1,"{'n_neighbors': 11, 'p': 1}",0.873045849,0.822406783,0.838116525,0.806922073,0.803594607,0.828817167,0.025295533,4
9,0.000403166,0.000493786,0.003402042,0.000519957,11,2,"{'n_neighbors': 11, 'p': 2}",0.847841584,0.796098235,0.826957853,0.767708394,0.786872565,0.805095726,0.028691504,8
